Bank,Id,Total Assets,Total Deposits,Number of Employees,Net Income,Total Liabilities,Total Equity Capital,Derivatives,Return on Assets,Return on Equity
JPMorgan Chase Bank,1,"$3,267,963,000,000","$2,472,913,000,000","221,852","$11,714,000,000","$2,958,911,000,000","$309,052,000,000","$60,654,938,000,000",1%,15%
Bank of America,2,"$2,518,290,000,000","$2,015,381,000,000","139,438","$8,288,000,000","$2,285,819,000,000","$232,471,000,000","$22,860,769,000,000",1%,14%
Citibank,3,"$1,721,547,000,000","$1,355,315,000,000","191,081","$4,559,000,000","$1,553,334,000,000","$168,213,000,000","$55,530,984,000,000",1%,11%
Wells Fargo Bank,4,"$1,687,507,000,000","$1,406,796,000,000","209,680","$6,017,000,000","$1,524,982,000,000","$162,525,000,000","$13,226,173,000,000",1%,15%
U.S. Bank,5,"$590,460,458,000","$459,141,236,000","70,181","$1,520,623,000","$543,988,657,000","$46,471,801,000","$1,011,361,347,000",1%,14%
Truist Bank,6,"$564,837,000,000","$416,852,000,000","51,116","$1,569,000,000","$503,239,000,000","$61,598,000,000","$349,979,000,000",1%,10%
PNC Bank,7,"$556,314,067,000","$446,675,470,000","60,350","$1,657,482,000","$510,676,605,000","$45,637,462,000","$629,532,152,000",1%,15%
Goldman Sachs Bank USA,8,"$490,799,000,000","$337,173,000,000","4,896","$1,654,000,000","$440,377,000,000","$50,422,000,000","$57,258,827,000,000",1%,13%
Capital One,9,"$469,431,665,000","$371,766,972,000","61,852","$1,031,164,000","$418,525,840,000","$50,905,825,000","$214,673,352,000",1%,8%
TD Bank,10,"$401,244,710,000","$311,745,378,000","27,744","$442,243,000","$356,761,042,000","$44,483,668,000","$380,975,968,000",0%,4%
"Charles Schwab Bank, SSB",11,"$347,185,000,000","$291,890,000,000","1,061","$398,000,000","$337,408,000,000","$9,777,000,000","$3,502,000,000",0%,18%
The Bank of New York Mellon,12,"$341,455,000,000","$284,585,000,000","42,516","$754,000,000","$314,653,000,000","$26,802,000,000","$1,133,719,000,000",1%,11%
State Street Bank and Trust Company,13,"$287,069,000,000","$230,488,000,000","40,840","$616,000,000","$260,696,000,000","$26,373,000,000","$2,490,187,000,000",2%,25%
BMO Harris Bank,14,"$265,445,972,000","$207,950,105,000","20,275","$-385,800,000","$233,234,925,000","$32,211,047,000","$118,825,812,000",-1%,-6%
First Republic Bank,15,"$232,944,161,000","$104,473,959,000","7,040",$0,"$214,954,325,000","$17,989,836,000","$5,878,100,000",0%,0%
Citizens Bank,16,"$221,955,033,000","$174,818,571,000","18,163","$538,129,000","$198,000,345,000","$23,954,688,000","$292,259,215,000",2%,42%
First-Citizens Bank & Trust Company,17,"$214,598,538,000","$140,261,168,000","16,963","$9,534,055,000","$195,121,553,000","$19,476,985,000","$42,370,874,000",24%,259%
Fifth Third Bank,18,"$207,586,000,000","$168,170,000,000","19,451","$641,000,000","$186,486,000,000","$21,100,000,000","$185,406,000,000",1%,13%
Morgan Stanley Bank,19,"$205,845,000,000","$179,276,000,000",343,"$1,171,000,000","$184,367,000,000","$21,478,000,000","$145,155,000,000",2%,23%
Manufacturers and Traders Trust Company,20,"$202,362,791,000","$161,609,047,000","22,166","$708,515,000","$177,030,502,000","$25,332,289,000","$64,076,166,000",1%,11%
Morgan Stanley Private Bank,21,"$195,667,000,000","$177,295,000,000","1,322","$678,000,000","$178,896,000,000","$16,771,000,000","$47,848,000,000",1%,17%
KeyBank,22,"$195,190,692,000","$147,388,149,000","18,447","$400,621,000","$181,067,671,000","$14,123,021,000","$157,072,946,000",1%,12%
The Huntington National Bank,23,"$188,441,474,000","$148,591,761,000","19,186","$659,334,000","$170,222,759,000","$18,218,715,000","$101,741,020,000",1%,15%
Ally Bank,24,"$186,383,000,000","$158,488,000,000","10,412","$495,000,000","$172,547,000,000","$13,836,000,000","$44,789,000,000",1%,15%
American Express National Bank,25,"$165,450,140,000","$130,156,839,000","2,053","$1,317,610,000","$150,868,386,000","$14,581,754,000",$0,3%,37%
HSBC Bank USA,26,"$164,491,861,000","$137,933,667,000","1,883","$330,669,000","$147,986,323,000","$16,505,538,000","$1,497,601,311,000",1%,8%
Regions Bank,27,"$153,125,000,000","$130,749,000,000","20,013","$641,000,000","$137,504,000,000","$15,621,000,000","$174,386,000,000",2%,17%
The Northern Trust Company,28,"$150,573,124,000","$114,487,665,000","23,600","$337,729,000","$139,138,222,000","$11,434,902,000","$331,287,239,000",1%,12%
Discover Bank,29,"$130,702,905,000","$98,492,071,000","14,792","$891,965,000","$118,734,045,000","$11,968,860,000","$9,635,184,000",3%,30%
Flagstar Bank,30,"$123,633,012,000","$84,951,184,000","6,774","$2,023,609,000","$112,041,868,000","$11,591,144,000","$22,813,691,000",8%,76%
UBS Bank USA,31,"$113,866,853,000","$93,917,470,000",711,"$452,165,000","$104,984,273,000","$8,882,580,000","$48,554,420,000",2%,20%
USAA Federal Savings Bank,32,"$110,977,000,000","$102,832,000,000","14,955","$-27,000,000","$108,069,000,000","$2,908,000,000","$1,736,000,000",0%,-4%
"Santander Bank, N.A.",33,"$105,313,880,000","$76,442,013,000","7,361","$16,142,000","$94,001,379,000","$11,312,501,000","$57,711,018,000",0%,1%
Union Bank,34,"$99,963,823,000","$70,889,972,000","6,663","$3,205,000","$84,502,342,000","$15,461,481,000","$147,445,413,000",1%,17%
Synchrony Bank,35,"$99,374,000,000","$77,638,000,000","9,715","$530,000,000","$87,716,000,000","$11,658,000,000",$0,2%,18%
City National Bank,36,"$96,370,058,000","$75,144,656,000","7,411","$140,217,000","$88,136,432,000","$8,233,626,000","$36,786,556,000",1%,7%
Comerica Bank,37,"$91,259,000,000","$66,703,000,000","7,421","$326,000,000","$85,654,000,000","$5,605,000,000","$76,007,000,000",1%,25%
"Zions Bancorporation, N.A.",38,"$88,573,533,000","$69,207,568,000","10,064","$204,287,000","$83,388,869,000","$5,184,664,000","$22,630,342,000",1%,16%
First Horizon Bank,39,"$80,465,472,000","$62,813,312,000","7,061","$284,943,000","$71,974,712,000","$8,490,760,000","$33,579,352,000",1%,14%
Webster Bank,40,"$74,793,203,000","$55,658,615,000","4,190","$234,204,000","$65,973,874,000","$8,819,329,000","$21,164,199,000",1%,11%
Western Alliance Bank,41,"$70,985,869,000","$47,852,002,000","3,391","$142,801,000","$65,113,247,000","$5,872,622,000","$308,314,199,000",1%,10%
"STANDARD CHARTERED BANK, PLC",42,"$68,960,429,000","$45,574,709,000",0,$0,"$68,960,429,000",$0,$0,0%,0%
East West Bank,43,"$67,218,944,000","$55,034,827,000","3,175","$325,637,000","$61,023,529,000","$6,195,415,000","$27,851,966,000",2%,22%
Valley National Bank,44,"$64,314,291,000","$47,761,044,000","3,864","$155,304,000","$57,058,209,000","$7,256,082,000","$18,588,039,000",1%,9%
Synovus Bank,45,"$61,725,582,000","$50,500,418,000","4,876","$201,516,000","$56,972,915,000","$4,752,667,000","$20,898,334,000",1%,17%
Banco Popular de Puerto Rico,46,"$55,618,000,000","$52,511,000,000","7,259","$123,000,000","$53,185,000,000","$2,433,000,000","$491,000,000",1%,22%
Umpqua Bank,47,"$53,985,895,000","$41,634,018,000","5,397","$-6,755,000","$48,686,855,000","$5,299,040,000","$9,166,088,000",0%,-1%
CIBC Bank USA,48,"$52,145,757,000","$39,975,956,000","2,056","$189,178,000","$43,668,497,000","$8,477,260,000","$4,098,624,000",1%,9%
Cadence Bank,49,"$51,693,096,000","$39,420,655,000","6,567","$76,628,000","$47,202,679,000","$4,490,417,000","$3,581,997,000",1%,7%
Frost Bank,50,"$51,285,722,000","$42,586,831,000","5,111","$180,141,000","$47,918,563,000","$3,367,159,000","$4,634,714,000",1%,22%
BOKF,51,"$45,269,054,000","$32,799,235,000","4,561","$161,543,000","$40,717,782,000","$4,551,272,000","$51,608,039,000",1%,15%
Pinnacle Bank,52,"$44,987,683,000","$36,371,007,000","3,282","$145,225,000","$39,197,785,000","$5,789,898,000","$7,686,993,000",2%,71%
SouthState Bank,53,"$44,902,537,000","$36,510,858,000","5,085","$149,256,000","$39,379,110,000","$5,523,427,000","$21,639,019,000",1%,11%
Pacific Western Bank,54,"$44,254,517,000","$28,527,246,000","2,327","$-1,186,710,000","$41,440,968,000","$2,813,549,000","$116,460,000",-11%,-140%
First National Bank of Pennsylvania,55,"$44,131,723,000","$34,590,559,000","4,030","$148,787,000","$38,254,628,000","$5,877,095,000","$13,873,024,000",1%,10%
Raymond James Bank,56,"$43,358,880,000","$39,707,871,000",329,"$215,143,000","$40,702,350,000","$2,656,530,000","$3,132,992,000",2%,34%
Bank of China,57,"$43,197,828,000","$17,638,504,000",0,$0,"$43,197,828,000",$0,$0,0%,0%
Associated Bank,58,"$40,652,795,000","$30,378,613,000","4,246","$106,639,000","$36,470,672,000","$4,182,123,000","$12,515,888,000",1%,10%
